chamber,candidate_name,district,party,slug,status
House,Tommy J. Walz,Washington-3,Democratic,tommy-j.-walz,ok
House,Peter D. Anthony,Washington-3,Democratic,peter-d.-anthony,ok
House,Mary S. Hooper,Washington-4,Democratic,mary-s.-hooper,ok
House,Warren Kitzmiller,Washington-4,Democratic,warren-kitzmiller,ok
House,Kimberly Jessup,Washington-5,Democratic,kimberly-jessup,ok
House,Janet Ancel,Washington-6,Democratic,janet-ancel,ok
House,Maxine Grad,Washington-7,Democratic,maxine-grad,ok
House,Kari Dolan,Washington-7,Democratic,kari-dolan,ok
House,Theresa Wood,Washington-Chittenden,Democratic,theresa-wood,ok
House,Thomas Stevens,Washington-Chittenden,Democratic,thomas-stevens,ok
House,Sara Coffey,Windham-1,Democratic,sara-coffey,ok
House,Emilie Kornheiser,Windham-2-1,Democratic,emilie-kornheiser,ok
House,Mollie S. Burke,Windham-2-2,Progressive,mollie-s.-burke,ok
House,Tristan Toleno,Windham-2-3,Democratic,tristan-toleno,ok
House,Carolyn W. Partridge,Windham-3,Democratic,carolyn-w.-partridge,ok
House,Matthew A. Trieber,Windham-3,Democratic,matthew-a.-trieber,ok
House,Mike Mrowicki,Windham-4,Democratic,mike-mrowicki,ok
House,Nader Hashim,Windham-4,Democratic,nader-hashim,ok
House,Emily Long,Windham-5,Democratic,emily-long,ok
House,John Gannon,Windham-6,Democratic,john-gannon,ok
House,Laura Sibilia,Windham-Bennington,Independent,laura-sibilia,ok
House,Kelly M. Pajala,Windham-Bennington-Windsor,Independent,kelly-m.-pajala,ok
House,John Bartholomew,Windsor-1,Democratic,john-bartholomew,ok
House,Zachariah Ralph,Windsor-1,Progressive,zachariah-ralph,ok
House,Annmarie Christensen,Windsor-2,Democratic,annmarie-christensen,ok
House,Thomas A. Bock,Windsor-3-1,Democratic,thomas-a.-bock,ok
House,Alice M. Emmons,Windsor-3-2,Democratic,alice-m.-emmons,ok
House,"Robert ""Bob"" Forguites",Windsor-3-2,Democratic,bob-forguites,ok
House,Randall Szott,Windsor-4-1,Democratic,randall-szott,ok
House,Rebecca White,Windsor-4-2,Democratic,rebecca-white,ok
House,"Kevin ""Coach"" Christie",Windsor-4-2,Democratic,coach-christie,ok
House,Charlie Kimbell,Windsor-5,Democratic,charlie-kimbell,ok
House,John O'Brien,Windsor-Orange-1,Democratic,john-o'brien,ok
House,Tim Briglin,Windsor-Orange-2,Democratic,tim-briglin,ok
House,Jim Masland,Windsor-Orange-2,Democratic,jim-masland,ok
House,Sandy Haas,Windsor-Rutland,Progressive,sandy-haas,ok
Senate,Ruth Hardy,Addison,Democratic,ruth-hardy,ok
Senate,Christopher Bray,Addison,Democratic,christopher-bray,ok
Senate,Dick Sears,Bennington,Democratic,dick-sears,ok
Senate,Brian Campion,Bennington,Democratic,brian-campion,ok
Senate,Jane Kitchel,Caledonia,Democratic,jane-kitchel,ok
Senate,Joe Benning,Caledonia,Republican,joe-benning,ok
Senate,Tim Ashe,Chittenden,Democratic,tim-ashe,ok
Senate,Phil Baruth,Chittenden,Democratic,phil-baruth,ok
Senate,"Virginia ""Ginny"" Lyons",Chittenden,Democratic,ginny-lyons,ok
Senate,Debbie Ingram,Chittenden,Democratic,debbie-ingram,ok
Senate,Michael Sirotkin,Chittenden,Democratic,michael-sirotkin,ok
Senate,Christopher A. Pearson,Chittenden,Progressive,christopher-a.-pearson,ok
Senate,Robert A. Starr,Essex-Orleans,Democratic,robert-a.-starr,ok
Senate,John S. Rodgers,Essex-Orleans,Democratic,john-s.-rodgers,ok
Senate,Randy Brock,Franklin,Republican,randy-brock,ok
Senate,Corey Parent,Franklin,Republican,corey-parent,ok
Senate,"Richard ""Dick"" Mazza",Grand Isle,Democratic,dick-mazza,ok
Senate,Richard A. Westman,Lamoille,Republican,richard-a.-westman,ok
Senate,Mark A. MacDonald,Orange,Democratic,mark-a.-macdonald,ok
Senate,Cheryl Hooker,Rutland,Democratic,cheryl-hooker,ok
